SKU,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Capacity,Filter_Star,Filter_Type,Filter_Ideal for Family size,Filter_Defrosting type,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM_REFRIGERATOR_2-DOOR-LB,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT38DG5A4DBX,60990,,,Luxe Black,350L,3,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4dbxhl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4dbxhl-548207856?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4dbxhl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4dbxhl-thumb-542993095?$64_64_PNG$,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-RS,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT38DG5A4DSL,60990,,,Real Stainless,350L,3,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a2bs8hl/gallery/in-top-mount-freezer-twin-cooling-plus-519111-rt45dg6a2bs8hl-548207628?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a2bs8hl/gallery/in-top-mount-freezer-twin-cooling-plus-519111-rt45dg6a2bs8hl-thumb-542990426?$64_64_PNG$,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-EI,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT38DG5A4DS8,59990,,,Elegant Inox,350L,3,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a2bslhl/gallery/in-top-mount-freezer-twin-cooling-plus-519111-rt45dg6a2bslhl-548207648?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a2bslhl/gallery/in-top-mount-freezer-twin-cooling-plus-519111-rt45dg6a2bslhl-thumb-542990445?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BM,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT41DG6A4DB1,67990,,,Black Matt,396L,3,Double Door,,Twin Cooling Plus,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-RS,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT41DG6A4DSL,68990,,,Real Stainless,396L,3,Double Door,,Twin Cooling Plus,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BM,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT41DG6A2BB1,65990,,,Black Glass,396L,2,Double Door,,Twin Cooling Plus,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-EI,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT41DG6A2BS8,64990,,,Elegant Inox,396L,2,Double Door,,Twin Cooling Plus,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-RS,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT41DG6A2BSL,64990,,,Real Stainless,396L,2,Double Door,,Twin Cooling Plus,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BM,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT38DG5A2BBX,57990,,,Luxe Black,350L,2,Double Door,,Twin Cooling ,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-EZ CS,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT38DG5A2BSL,57990,,,EZ Clean Steel,350L,2,Double Door,,Twin Cooling ,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-EI,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT38DG5A2BS8,56990,,,Elegant Inox,350L,2,Double Door,,Twin Cooling ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BG,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT45DB6A4B22,72990,,,Black Glass,419L,2,Double Door,,Twin Cooling ,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45db6a4b22hl/gallery/in-top-mount-freezer-convertible-5-in-1-519108-rt45db6a4b22hl-548179682?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45db6a4b22hl/gallery/in-top-mount-freezer-convertible-5-in-1-519108-rt45db6a4b22hl-thumb-542989930?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_Side By SIde-DOOR-BM,SAM-REF-Side by Side-Door,Samsung Convertible 5in1 Side By Side Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RS76CG8103B1,132000,,,Black Matt,653L,3,Side by side door,,Twin Cooling Plus,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rs76cg8103b1hl/gallery/in-side-by-side-smart-conversion-545888-rs76cg8103b1hl-548902145?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rs76cg8103b1hl/gallery/in-side-by-side-smart-conversion-545888-rs76cg8103b1hl-thumb-546080558?$64_64_PNG$,,,,,,,,,,,,,
