Column 1,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Storage,Attribute_RAM,Filter_OS,Filter_Screen_Size_inch,Filter_Display_Type,Filter included softwear,Filter_Processor,Filter_Battery_mAh,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM_Book4 Pro-512GB-MG,SAM-Book4 Pro Evo AI,Samsung Galaxy Book4 Pro Evo AI,Samsung,Laptop,Laptop & Computers,NP940XGK-LG1,151789,,,Moonstone Gray,512GB,16GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2021,Intel Core Ultra 5 125H,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np940xgk-lg1in/gallery/in-galaxy-book-np940xgk-lg1in-front-gray-541800422?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np940xgk-lg1in/gallery/in-galaxy-book-np940xgk-lg1in-top-gray-541800434?imbypass=true,,,,,,,,,,,,,
SAM_Book4 Pro-512GB-S,SAM-Book4 Pro Evo AI,Samsung Galaxy Book4 Pro Evo AI,Samsung,Laptop,Laptop & Computers,NP940XGK-KS1,151789,,,Silver,512GB,16GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2021,Intel Core Ultra 5 125H,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/computers/galaxy-book4-pro/buy/GB4_Pro_Color_Selection_Platinum_Silver_UK_MO.jpg?imwidth=480,https://images.samsung.com/is/image/samsung/assets/in/computers/galaxy-book4-pro/buy/GB4-PRO-PlatinumSilver_WIB_IN_PC.png?imbypass=true,,,,,,,,,,,,,
SAM_Book4 Pro-512GB-MG,SAM-Book4 Pro Evo AI,Samsung Galaxy Book4 Pro Evo AI,Samsung,Laptop,Laptop & Computers,NP960XGK-KG1,163289,,,Moonstone Gray,512GB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2021,Intel Core Ultra 5 125H,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np940xgk-lg1in/gallery/in-galaxy-book-np940xgk-lg1in-front-gray-541800422?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np940xgk-lg1in/gallery/in-galaxy-book-np940xgk-lg1in-top-gray-541800434?imbypass=true,,,,,,,,,,,,,
SAM_Book4 Pro-512GB-MG,SAM-Book4 Pro Evo AI,Samsung Galaxy Book4 Pro Evo AI,Samsung,Laptop,Laptop & Computers,NP940XGK-LG2,160989,,,Moonstone Gray,512GB,16GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2021,Intel Core Ultra 7 155H,4 Cell Lithium Ion,,,,,,,,,,,,,,,,,,
SAM_Book4 Pro-1TB-MG,SAM-Book4 Pro Evo AI,Samsung Galaxy Book4 Pro Evo AI,Samsung,Laptop,Laptop & Computers,NP940XGK-LG3,197789,,,Moonstone Gray,1TB,32GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2021,Intel Core Ultra 7 155H,4 Cell Lithium Ion,,,,,,,,,,,,,,,,,,
SAM_Book4 Pro-512GB-MG,SAM-Book4 Pro Evo AI,Samsung Galaxy Book4 Pro Evo AI,Samsung,Laptop,Laptop & Computers,NP960XGK-LG2,172489,,,Moonstone Gray,512GB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2021,Intel Core Ultra 7 155H,4 Cell Lithium Ion,,,,,,,,,,,,,,,,,,
SAM_Book4 Pro-1TB-MG,SAM-Book4 Pro Evo AI,Samsung Galaxy Book4 Pro Evo AI,Samsung,Laptop,Laptop & Computers,NP960XGK-LG3,209289,,,Moonstone Gray,1TB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2021,Intel Core Ultra 7 155H,4 Cell Lithium Ion,,,,,,,,,,,,,,,,,,
SAM_Book4 Pro 360-512GB-MG,SAM-Book4 Pro 360 Evo AI,Samsung Galaxy Book4 Pro 360 Evo AI,Samsung,Laptop,Laptop & Computers,NP960QGK-LG1,188589,,,Moonstone Gray,512GB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2021,Intel Core Ultra 7 155H,4 Cell Lithium Ion,,,,,,,,,,,,,,,,,,
SAM_Book4 Pro 360-1TB-MG,SAM-Book4 Pro 360 Evo AI,Samsung Galaxy Book4 Pro 360 Evo AI,Samsung,Laptop,Laptop & Computers,NP960QGK-LG2,206989,,,Moonstone Gray,1TB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2022,Intel Core Ultra 7 155H,4 Cell Lithium Ion,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
